,pcpheno,pcrna,strains,nutrient
0,2.7620155852166124,-1.5824657110810683,sh07,2glc
1,2.3847594596443877,1.5868019298771412,sh07,fru
2,2.900170934547574,-1.616354595789197,sh07,02glc
3,2.8579777353587343,-1.4277315668725497,sh07,002glc
4,1.6118567380129407,-1.954734221027641,sh07,mal
5,2.5896283183336575,0.24269953360607305,sh07,raf
6,1.719586550493173,-1.8279907095932755,sh07,ac
