,2glc-sh07,fru-sh07,02glc-sh07,002glc-sh07,mal-sh07,raf-sh07,ac-sh07,2glc-cd103,fru-cd103,02glc-cd103,002glc-cd103,mal-cd103,raf-cd103,ac-cd103,2glc-a28y,fru-a28y,02glc-a28y,002glc-a28y,mal-a28y,raf-a28y,ac-a28y
79,0.9641876785325891,1.0,1.0,0.9594659991028566,0.8463887823034826,1.0,0.8294421792430597,0.8540814094578281,0.8872041016996838,1.0,0.8925261987458981,0.8939969562589588,0.9228068320562528,0.7146639210920066,0.9553198964273593,0.9130807705062046,0.8790997781068011,1.0,0.8019411171503253,1.0,0.8193362415300128
80,0.9660699781335973,1.0,1.0,0.9544606350508363,0.8441643051996813,1.0,0.8914175944349477,0.862499730426427,0.9021367579729089,1.0,0.9242988427156318,0.9012926411518242,0.958638778982953,0.7246131856895639,0.9268456495814302,0.9122009867020009,0.8793547081729066,1.0,0.8416041501371985,1.0,0.7797869655571109
81,1.0,1.0,1.0,0.9517366926564158,0.8636864911225436,1.0,0.9044708301218489,0.9613927937494658,0.9576153514776341,1.0,0.9122239412620794,0.9545203605642092,0.9542142052200595,0.7045336901690288,0.9276855605073635,0.917149308798285,0.941733393724145,1.0,0.8871785473447494,1.0,0.818855151338425
82,1.0,1.0,1.0,0.9063829737792006,0.9039331106781288,1.0,0.9127803309198725,1.0,1.0,1.0,0.8679245444162519,0.9576975963419193,1.0,0.7495180782412749,1.0,0.8824311520203422,1.0,1.0,0.8307929500267145,1.0,0.8450963096672414
83,1.0,1.0,1.0,0.7623406751499878,0.8336378598407124,1.0,0.9323519521488235,1.0,1.0,1.0,0.731888600577519,0.6666666666666666,0.9540249927593841,0.8587992719520138,0.9191055838426058,0.9646105560378696,1.0,0.9109778688418436,0.811375780212829,1.0,0.8550629225207166
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.1509046820146732,0.05568264428500105,0.13145078792510426,0.035726536960787876,0.0,0.3155287009444554,0.6339550380149022,0.0,0.0,0.0,0.4937220711975991,0.04931718859075392,0.17859498082829775,0.7963220930214261,0.049061675823213045,0.0,0.1425536776634808,0.0403955339832998,0.0,0.4849700379677519,0.15950760162260033
86,0.4739556162588883,0.31947696407303566,0.5321722728468473,0.2707279189720801,0.034321391888034146,0.6404563772411447,0.7821281783730605,0.0,0.0,0.0,0.734661915301607,0.09465190611514863,0.4352442058603563,0.9527987562317696,0.054492957010483956,0.0,0.2509208586827753,0.2582778884509486,0.4322656606648485,0.8204522439659359,0.44921660741308783
87,0.676623700958237,0.5059839815258375,0.6892495386695651,0.7534892195811853,0.04512843325318706,1.0,0.901737021503886,0.03783153481797478,0.0,0.0,0.8126157149995251,0.12011778879553557,0.5622114443301434,0.9180360738175802,0.061396278617960626,0.0,0.3447317354528642,0.5455377976300663,0.3977846731961072,1.0,0.587730305387392
88,0.7271391937658982,0.6100868644065736,0.7600769492925016,0.8393957648013641,0.08380573145148551,1.0,0.8960029448702344,0.04069795871371313,0.0,0.0,0.8238558005657949,0.13757360236654992,0.5441432508166238,0.872962551149806,0.07189581217552186,0.0,0.3865616698107897,0.8036925756930297,0.5531154855063923,0.9476072344148214,0.6931539953796283
89,0.7933206666695175,0.6461307047838162,0.7771232640709779,0.8644085644731274,0.0961196667514555,1.0,0.8570212572536757,0.043804786120349194,0.0,0.0,0.8387562861555508,0.1128523052620652,0.5731453088244264,0.9232765144282565,0.12414841257957847,0.043177687151860246,0.5015246977836221,0.8921216605786316,0.6422095719368585,1.0,0.6992193684732563
90,0.7931636777044825,0.6793357861268069,0.7880697923750456,0.8618521402559213,0.11090821865882455,1.0,0.8475503241675963,0.049651276370169924,0.0,0.0,0.8819962325233058,0.11147927136542597,0.5884813658086591,0.9040506153102049,0.11451274127086301,0.04777869778890425,0.5143172418800367,0.898984994408696,0.6776117946451997,1.0,0.750544185859695
91,0.7847497302218635,0.7157466443324071,0.8104221880203658,0.8388863332277285,0.12990176764927647,1.0,0.8876547307789107,0.044915922017367466,0.0,0.11216254803023162,0.8271145393836252,0.10243319073274133,0.6715647533733974,0.9493927310499756,0.06825947592081505,0.04923391840139114,0.5370471323800472,0.8514953464479923,0.43727315529516525,1.0,0.5026183780345602
92,0.780450396433264,0.6967264634529261,0.8080613673004721,0.858321134743718,0.18746679542025046,1.0,0.9032896947213299,0.11354148039616097,0.0,0.157006072334767,0.8368660892359093,0.09891430064846769,0.649540493008224,0.885575582883603,0.08805639957697069,0.10345404781045812,0.5484353014527727,0.9044654290108105,0.7135237259397341,1.0,0.771223847341057
93,0.8446278006619913,0.7307564354296563,0.8112800320618003,0.8561312506466887,0.3020972922008353,1.0,0.950157783008133,0.13763731367815954,0.03641610196953127,0.2893094950101211,0.8581016144363586,0.19740251349908802,0.7027676081082436,0.891760366616119,0.08451400703489158,0.15108439510169533,0.5571203205980432,0.9054046385228817,0.7239283840964092,1.0,0.7840501760337951
94,0.8043023495876541,0.7237468429253715,0.8003621105842159,0.772641240630728,0.4199622631380293,1.0,0.9601145840545126,0.2342158048187951,0.23347403255916266,0.4758779244768552,0.7473725159382547,0.3315597481540583,0.7014201545330119,0.8170340919549122,0.12992631937513074,0.23009347366334662,0.5579065102658609,0.8511226041236296,0.7013394855253431,1.0,0.7868428612365449
95,0.8035413514276306,0.7309352783432921,0.7932522157734837,0.6882537125999715,0.33025691214087166,1.0,0.6309396845255242,0.28640883796111877,0.3028158591764953,0.5283493333209703,0.7200295338204287,0.38796551564699633,0.7407248748744628,1.0,0.14523240263488443,0.27360134627031274,0.5983696690138116,0.7995327165411132,0.6683127467282565,1.0,0.8145226487825505
