"002-glc-cd103","002-glc-sh07","02-glc-cd103","02-glc-sh07","2-ace-cd103","2-ace-sh07","2-fru-cd103","2-fru-sh07","2-gal-cd103","2-gal-sh07","2-glc-cd103","2-glc-sh07","2-mal-cd103","2-mal-sh07","2-raf-cd103","2-raf-sh07","002-glc-a28y","02-glc-a28y","2-ace-a28y","2-fru-a28y","2-gal-a28y","2-glc-a28y","2-mal-a28y","2-raf-a28y"
"HXT1",7.25200864267858,7.49769963301249,9.58239805506527,8.50096701561784,8.98312016734159,9.41606772914481,11.6579273344091,11.1094998788628,6.987993847131,7.37286412274818,11.6452184912333,7.77842375160044,8.37588829114455,7.55451645325181,7.65504593984289,10.4208642524092,7.78897963292183,12.7105493904068,9.62909805603375,12.078648654654,9.02530659803902,12.907013547323,8.41939582701767,9.39502014491734
"HXT2",13.7484485395449,13.1946367279236,12.9806200777999,12.8390899693293,17.5058795123124,16.600664652256,12.9806200777999,11.2897871660445,11.7005277675022,11.1114435823662,13.2952784823377,11.6218464827833,11.9198530064397,11.0080397539021,13.7238379102148,14.2524142413875,12.9806200777999,13.6771155287435,14.4243589824846,13.8988234764802,13.7196557374613,13.1539186510401,12.9602057158149,14.4598725319555
"HXT3",10.581973662669,10.7798071585851,10.8440131413965,11.0271067122941,11.7198535671954,11.6309657836269,13.8853660773161,12.8745649250177,10.8392850626563,11.0941302313653,13.9238094441661,10.6146357795599,11.6495228282591,11.7916844858574,10.9092700579419,11.8568271165803,10.2462922316027,15.11658948434,11.070129769103,14.61673586368,11.2940511736338,14.812310981983,11.7008548328552,11.0628802657445
"HXT4",10.8996650966925,10.3512383547309,12.841361539473,10.3276207089873,11.4884318220607,11.1436595240776,13.6760181681741,12.2641526597516,10.3427125896819,10.2168915689343,13.2787865292927,9.74226182103203,11.4919489270301,10.1504618886386,11.2185621019923,12.6343669945894,11.3444200534941,15.1726572844456,11.4179110652402,14.5654676225746,11.0211460048872,14.0741089864724,11.3632506647084,12.753540352004
"HXT5",14.80003499784,13.9594153620063,9.7902601133129,14.5920680479433,16.4513339775389,16.0847102670929,9.29421003686809,12.5826761427557,12.1905050776978,12.750925424799,9.60484356920579,13.4692749453857,12.0712020757879,12.3018719829526,14.1339423626278,13.1212700650955,13.750211196154,9.86010532378942,14.1310721415749,9.38752940873196,12.7060773904513,9.66946552887268,10.9514107766277,12.1123253626534
"HXT6",13.9816677794082,14.4166513913331,15.9601496438267,14.8983188931971,14.1443517354371,13.6730141166026,15.1963107315339,14.3713470703648,16.2243805396216,16.6659933189538,14.3713470703648,16.0296191157287,15.2415709859478,17.4496198965287,18.380879715702,13.8020484787186,13.9254033592995,14.1320259554053,12.4460925450038,14.3713470703648,13.341577396716,13.6148262347728,14.3713470703648,14.1739175037781
"HXT7",13.5799733411344,13.8162877293128,14.7936777925364,14.2407933444779,14.2407933444779,13.6295991936703,14.748499184665,13.573924345018,14.2407933444779,13.7401616542043,13.9824191880435,14.4784199827769,14.2407933444779,13.6770687098215,16.3993392515557,13.5674646508191,14.3846535677138,15.3488446255566,14.1333069216097,15.4437499775873,14.5525703522991,14.3360615191339,15.4750304648585,18.6845356130218
"HXT8",9.73432485704942,7.54512071307823,8.84343592990975,7.77466644723275,8.98312016734159,8.87493893076631,7.7618203711495,6.62373394144347,9.46100382775275,8.87493893076631,6.97194853709565,7.10724132758918,11.6951761534544,12.2476676598558,9.91275052131565,7.97073956995037,9.69099706228321,8.34739966754022,8.87493893076631,7.7605043997165,8.36579669572273,7.4950702789293,12.693395082858,9.92714874163454
"HXT9",9.66012352633655,9.075088011396,7.73486177728775,9.00333890164778,9.99567301839909,9.84056706275487,6.98748798814671,7.11022730418547,9.05612264877199,9.07767980873621,7.49805774036446,8.55279374515539,9.55302954026043,10.3431559620882,8.07685260392237,8.4251081907499,8.94112711630365,8.02498507957904,9.12274193280589,7.08470630916986,9.14173377213144,8.55279374515539,9.40494053657938,8.40901041856914
"HXT10",8.9080708528177,9.94041804121924,6.37873516124166,9.94104540730075,10.7983306589585,10.5492341390797,5.66299628879567,7.7379146365177,8.33341773720799,9.15375666761477,6.1369429483759,9.25716259054285,7.49507516267057,9.53633657894959,9.71273829931546,8.6511743797146,7.24507397060246,6.20737738917893,9.48792757290676,6.20194754716448,9.57937498556352,3.78038195015274,7.06473560918385,8.55948262161873
"HXT11",9.71633648616276,9.2530439019835,7.20896089023994,9.5040632371478,10.0328944184201,10.1776655154392,6.88786083411077,7.96084814024973,8.80744351347544,9.24706924460972,5.6906976105378,8.892234438049,9.17872532418544,9.95401600602881,8.59880331252829,8.59880331252829,9.27783282826125,8.59880331252829,10.6012338812321,7.7605043997165,9.34082109421647,7.26125403219811,8.70243214218842,8.64961657295877
"HXT13",8.57122676426619,8.57122676426619,8.60181824329382,9.90586717211595,7.21290734349975,7.43471519075101,6.98748798814671,10.783223003584,10.2593711652736,10.9716930813212,8.93657552344623,11.6210762040049,10.3954025720386,11.3767604116591,8.07685260392237,7.04144499157089,7.24507397060246,6.20737738917893,7.34342158777612,7.81671203522619,8.57122676426619,6.57274250048163,10.542855075613,6.65539856506838
"HXT14",8.57122676426619,8.12484286566743,5.42796637840986,7.86258816479177,9.87301200224536,9.97936258490595,5.26320201789751,5.17042006496619,6.80729049063078,7.37286412274818,4.89315416855186,6.05689789618635,6.02842066079461,7.55451645325181,7.58064581642299,8.39337063320894,6.17884304628603,6.20737738917893,9.95499926703103,5.08074971664479,6.66547055414497,3.78038195015274,7.06473560918385,6.65539856506838
