,on_fraction,on_level,on_sigma,off_level,off_sigma,off_fraction,id,gal,glc,muThresh
0,0.0,,,1.6008066242623549,0.04203897437013106,1.0,1,0.000244140625,0.5,2.3078433428743845
1,0.0,,,1.5961617846594338,0.039551316832250556,1.0,2,0.00048828125,0.5,2.3078433428743845
2,0.0,0.0,0.0,1.4802562427450787,0.03718542977341645,1.0,3,0.0009765625,0.5,2.3078433428743845
3,0.0,0.0,0.0,1.4865483172801968,0.03831473023244211,1.0,4,0.001953125,0.5,2.3078433428743845
4,0.0,,,1.6630517313400268,0.03885647816340026,1.0,5,0.00390625,0.5,2.3078433428743845
5,0.0,0.0,0.0,1.688776306887317,0.02563931806336221,1.0,6,0.0078125,0.5,2.3078433428743845
6,0.0,0.0,0.0,1.70123352267878,0.04164777531990444,1.0,7,0.015625,0.5,2.3078433428743845
7,0.0,0.0,0.0,1.7615965372113005,0.05010402766003604,1.0,8,0.03125,0.5,2.3078433428743845
8,0.0,,,2.0846703088592746,0.11510684099976554,1.0,9,0.0625,0.5,2.3078433428743845
9,0.0,,,2.2687516506393246,0.16053464983638838,1.0,10,0.125,0.5,2.3078433428743845
10,0.6122155450656737,2.727891324041842,0.11086512933380949,2.1136106222394107,0.15348356903338112,0.38778445493432634,11,0.25,0.5,2.3078433428743845
11,1.0,2.614146309218876,0.26130851850559367,,,0.0,12,0.5,0.5,2.3078433428743845
12,0.0,0.0,0.0,1.5196312407412402,0.036523649914972395,1.0,13,0.000244140625,0.25,2.3078433428743845
13,0.0,0.0,0.0,1.5518664042607058,0.03656429155436998,1.0,14,0.00048828125,0.25,2.3078433428743845
14,0.0,0.0,0.0,1.5209473348390647,0.03586709144242525,1.0,15,0.0009765625,0.25,2.3078433428743845
15,0.0,0.0,0.0,1.5532173551109152,0.035947353532198446,1.0,16,0.001953125,0.25,2.3078433428743845
16,0.0,0.0,0.0,1.6828628979274696,0.024923851384458896,1.0,17,0.00390625,0.25,2.3078433428743845
17,0.0,0.0,0.0,1.6944075300810841,0.036188219528358115,1.0,18,0.0078125,0.25,2.3078433428743845
18,0.0,0.0,0.0,1.7483960532726008,0.04535823218934017,1.0,19,0.015625,0.25,2.3078433428743845
19,0.0,,,2.091754963176576,0.14934949781726645,1.0,20,0.03125,0.25,2.3078433428743845
20,0.0,,,2.295429359375328,0.21514417545835524,1.0,21,0.0625,0.25,2.3078433428743845
21,0.6990347441113927,2.7770390886439644,0.11536728591617867,1.858041243956245,0.10267112347005015,0.3009652558886073,22,0.125,0.25,2.3078433428743845
22,1.0,2.701721347137185,0.31388052131319083,,,0.0,23,0.25,0.25,2.3078433428743845
23,1.0,2.6726043096147327,0.29006720785054524,,,0.0,24,0.5,0.25,2.3078433428743845
24,0.0,0.0,0.0,1.6084703708359374,0.05387970042637237,1.0,25,0.000244140625,0.125,2.3078433428743845
25,0.0,0.0,0.0,1.62150047735297,0.05943920512833957,1.0,26,0.00048828125,0.125,2.3078433428743845
26,0.0,0.0,0.0,1.5620201441679529,0.036166316640794366,1.0,27,0.0009765625,0.125,2.3078433428743845
27,0.0,0.0,0.0,1.64598343093043,0.03153942801467926,1.0,28,0.001953125,0.125,2.3078433428743845
28,0.0,0.0,0.0,1.714394710632443,0.03674090189531013,1.0,29,0.00390625,0.125,2.3078433428743845
29,0.0,0.0,0.0,1.7517077788616267,0.04172928542621215,1.0,30,0.0078125,0.125,2.3078433428743845
30,0.0,,,2.097543061110127,0.16650205065610177,1.0,31,0.015625,0.125,2.3078433428743845
31,1.0,2.3341464099382967,0.2096366924928201,,,0.0,32,0.03125,0.125,2.3078433428743845
32,0.6737967473848782,2.840946913011489,0.11889230258459152,1.9357495067151345,0.12530751196209194,0.32620325261512173,33,0.0625,0.125,2.3078433428743845
33,0.6962207736570318,3.1722069429891118,0.15813706092719026,1.9930251978632592,0.17223982713311958,0.30377922634296817,34,0.125,0.125,2.3078433428743845
34,1.0,2.883860166547377,0.5854768046782988,,,0.0,35,0.25,0.125,2.3078433428743845
35,1.0,2.758036038523968,0.39523934115157877,,,0.0,36,0.5,0.125,2.3078433428743845
36,0.0,0.0,0.0,1.645142255936623,0.05709713512949956,1.0,37,0.000244140625,0.0625,2.3078433428743845
37,0.0,0.0,0.0,1.6371643967660952,0.05833060847893492,1.0,38,0.00048828125,0.0625,2.3078433428743845
38,0.0,0.0,0.0,1.6104843305170728,0.0377572371786977,1.0,39,0.0009765625,0.0625,2.3078433428743845
39,0.0,0.0,0.0,1.6922144995853674,0.024249957898537972,1.0,40,0.001953125,0.0625,2.3078433428743845
40,0.0,0.0,0.0,1.7400561509501025,0.0371008580250389,1.0,41,0.00390625,0.0625,2.3078433428743845
41,0.46926416745444555,2.4446172903542225,0.08245134128944995,1.7859001562488321,0.04296901555102878,0.5307358325455545,42,0.0078125,0.0625,2.3078433428743845
42,1.0,2.330095279073295,0.22043864691676154,,,0.0,43,0.015625,0.0625,2.3078433428743845
43,0.7788953885468584,2.797633083649779,0.12266044623299384,1.7826983763754565,0.0423492948614695,0.2211046114531416,44,0.03125,0.0625,2.3078433428743845
44,0.8188956403524196,3.068379640706376,0.1653861239358673,1.778378368549086,0.05846129447221816,0.18110435964758048,45,0.0625,0.0625,2.3078433428743845
45,0.6982798036345632,3.4805104587853752,0.17689205941565864,2.0823759871486964,0.256073636506388,0.3017201963654367,46,0.125,0.0625,2.3078433428743845
46,0.6224355311771236,3.539847881262254,0.18337050172614866,2.3052081969896396,0.31864594116347583,0.37756446882287653,47,0.25,0.0625,2.3078433428743845
47,0.6212484759167235,3.2890860303129643,0.18807234449143403,2.409113148904137,0.29156740287313937,0.37875152408327656,48,0.5,0.0625,2.3078433428743845
48,0.0,0.0,0.0,1.655051720256626,0.06113902514102202,1.0,49,0.000244140625,0.03125,2.3078433428743845
49,0.0,0.0,0.0,1.6676306032305561,0.05248286191093493,1.0,50,0.00048828125,0.03125,2.3078433428743845
50,0.0,,,1.7005703343168448,0.03907308962124888,1.0,51,0.0009765625,0.03125,2.3078433428743845
51,0.0,0.0,0.0,1.737160703791501,0.03169333261827865,1.0,52,0.001953125,0.03125,2.3078433428743845
52,0.37169039324863434,2.435071577694668,0.08480599731461894,1.7413040317001025,0.028932182640123053,0.6283096067513656,53,0.00390625,0.03125,2.3078433428743845
53,0.5840452001364865,2.635616458122819,0.10435373902005494,1.7700400174189037,0.04467817590671388,0.4159547998635135,54,0.0078125,0.03125,2.3078433428743845
54,0.7531965487273036,2.8105655487424115,0.1303751241816689,1.7656609780673778,0.045839387127759555,0.24680345127269632,55,0.015625,0.03125,2.3078433428743845
55,0.8277099246284773,3.0552959862222635,0.1330132526043261,1.7889860342828021,0.05459381897203218,0.17229007537152283,56,0.03125,0.03125,2.3078433428743845
56,0.8525961525723553,3.3514348972486756,0.17021146513919558,1.7803683349014843,0.06630955879807711,0.14740384742764456,57,0.0625,0.03125,2.3078433428743845
57,0.7676494891230485,3.6621589759588535,0.15417205016511934,2.053563312179922,0.27373839372967246,0.2323505108769515,58,0.125,0.03125,2.3078433428743845
58,0.6966139509309393,3.6873025130534938,0.167349880868497,2.367900691852674,0.3784404449365227,0.3033860490690608,59,0.25,0.03125,2.3078433428743845
59,0.6365422461165064,3.4901623565537276,0.17976175572513176,2.616778228062868,0.3599227205899827,0.3634577538834936,60,0.5,0.03125,2.3078433428743845
60,0.0,,,1.7425655778517737,0.04392682846159125,1.0,61,0.000244140625,0.015625,2.3078433428743845
61,0.0,,,1.7393372093293176,0.03802170456732281,1.0,62,0.00048828125,0.015625,2.3078433428743845
62,0.0,0.0,0.0,1.7434283785871802,0.01726764621934957,1.0,63,0.0009765625,0.015625,2.3078433428743845
63,0.17804570706718306,2.56102980936011,0.10420368735689381,1.7914922490822784,0.04049172215486318,0.821954292932817,64,0.001953125,0.015625,2.3078433428743845
64,0.4682160578105445,2.714427330771132,0.10650760715481207,1.7755604533623548,0.03959236973890915,0.5317839421894556,65,0.00390625,0.015625,2.3078433428743845
