,on_level,off_level,on_sigma,off_sigma,on_fraction,off_fraction,id,gal,glc,muThresh
0,0.0,1.6509599437557831,0.0,0.013035746847262041,0.0,1.0,1,0.000244140625,0.5,2.3023645237420824
1,0.0,1.6414198320035942,0.0,0.012873123991066488,0.0,1.0,2,0.00048828125,0.5,2.3023645237420824
2,0.0,1.6651663770451357,0.0,0.011721405364593688,0.0,1.0,3,0.0009765625,0.5,2.3023645237420824
3,0.0,1.665224467205375,0.0,0.009297839956534326,0.0,1.0,4,0.001953125,0.5,2.3023645237420824
4,0.0,1.6754829134712075,0.0,0.006566898130201022,0.0,1.0,5,0.00390625,0.5,2.3023645237420824
5,0.0,1.7044198989015993,0.0,0.015607554729044473,0.0,1.0,6,0.0078125,0.5,2.3023645237420824
6,0.0,1.7274856586589267,0.0,0.022590133846837036,0.0,1.0,7,0.015625,0.5,2.3023645237420824
7,0.0,1.7519859586592224,0.0,0.03221042055731543,0.0,1.0,8,0.03125,0.5,2.3023645237420824
8,,1.9863517643842064,,0.08137735926850194,0.0,1.0,9,0.0625,0.5,2.3023645237420824
9,,2.1200148925210835,,0.12978116749610513,0.0,1.0,10,0.125,0.5,2.3023645237420824
10,,2.2943190718739275,,0.22318435838995992,0.0,1.0,11,0.25,0.5,2.3023645237420824
11,2.3968798406561183,,0.3449911321222385,,1.0,0.0,12,0.5,0.5,2.3023645237420824
12,0.0,1.6703243212353676,0.0,0.010468131623154285,0.0,1.0,13,0.000244140625,0.25,2.3023645237420824
13,0.0,1.6783313952883585,0.0,0.012465674571434972,0.0,1.0,14,0.00048828125,0.25,2.3023645237420824
14,0.0,1.6631757724584344,0.0,0.018724935208331767,0.0,1.0,15,0.0009765625,0.25,2.3023645237420824
15,0.0,1.694487294007472,0.0,0.009643556105272262,0.0,1.0,16,0.001953125,0.25,2.3023645237420824
16,0.0,1.6887881010778807,0.0,0.014979731834881051,0.0,1.0,17,0.00390625,0.25,2.3023645237420824
17,0.0,1.7206233574508811,0.0,0.021708239556403816,0.0,1.0,18,0.0078125,0.25,2.3023645237420824
18,0.0,1.7451018535962581,0.0,0.032165286608181784,0.0,1.0,19,0.015625,0.25,2.3023645237420824
19,,1.991088386639538,,0.0903403014422799,0.0,1.0,20,0.03125,0.25,2.3023645237420824
20,,2.1429668963642845,,0.13087135887487988,0.0,1.0,21,0.0625,0.25,2.3023645237420824
21,,2.2935152349122507,,0.19849169616317122,0.0,1.0,22,0.125,0.25,2.3023645237420824
22,2.493741971800779,,0.33147577599818034,,1.0,0.0,23,0.25,0.25,2.3023645237420824
23,2.460777337416221,,0.30641214726316834,,1.0,0.0,24,0.5,0.25,2.3023645237420824
24,0.0,1.6915301027939136,0.0,0.01255758972832656,0.0,1.0,25,0.000244140625,0.125,2.3023645237420824
25,0.0,1.6957881813588962,0.0,0.011139701680734668,0.0,1.0,26,0.00048828125,0.125,2.3023645237420824
26,,1.7235608128024968,,0.02511974675660691,0.0,1.0,27,0.0009765625,0.125,2.3023645237420824
27,0.0,1.7103683922635349,0.0,0.0132310745556014,0.0,1.0,28,0.001953125,0.125,2.3023645237420824
28,0.0,1.7346541288152706,0.0,0.019220397817717717,0.0,1.0,29,0.00390625,0.125,2.3023645237420824
29,0.0,1.7636380752923384,0.0,0.027405718180665856,0.0,1.0,30,0.0078125,0.125,2.3023645237420824
30,,2.016891157839265,,0.10107681096179727,0.0,1.0,31,0.015625,0.125,2.3023645237420824
31,,2.187076402564998,,0.14138347764175488,0.0,1.0,32,0.03125,0.125,2.3023645237420824
32,2.370693839544717,,0.19294255371084137,,1.0,0.0,33,0.0625,0.125,2.3023645237420824
33,2.65969707118294,,0.3124345697595322,,1.0,0.0,34,0.125,0.125,2.3023645237420824
34,2.6328429110700617,,0.44352857208388147,,1.0,0.0,35,0.25,0.125,2.3023645237420824
35,2.5748958170100376,,0.33424989207766603,,1.0,0.0,36,0.5,0.125,2.3023645237420824
36,,1.7373925678027515,,0.02551539892349911,0.0,1.0,37,0.000244140625,0.0625,2.3023645237420824
37,0.0,1.7011739684340146,0.0,0.01949219982283325,0.0,1.0,38,0.00048828125,0.0625,2.3023645237420824
38,0.0,1.7461031114448944,0.0,0.012234127605524387,0.0,1.0,39,0.0009765625,0.0625,2.3023645237420824
39,0.0,1.7513492545644709,0.0,0.016298144077181262,0.0,1.0,40,0.001953125,0.0625,2.3023645237420824
40,0.0,1.786250855175231,0.0,0.024626855517021828,0.0,1.0,41,0.00390625,0.0625,2.3023645237420824
41,0.0,1.8090678065139645,0.0,0.033389124476549646,0.0,1.0,42,0.0078125,0.0625,2.3023645237420824
42,,2.179363114067251,,0.14388063317776947,0.0,1.0,43,0.015625,0.0625,2.3023645237420824
43,2.3993994137566776,,0.19117468410496266,,1.0,0.0,44,0.03125,0.0625,2.3023645237420824
44,2.880037121529304,2.0051190814377082,0.12526962155525784,0.12356733930134335,0.696337962117255,0.303662037882745,45,0.0625,0.0625,2.3023645237420824
45,2.8130754702675334,,0.48709374021994234,,1.0,0.0,46,0.125,0.0625,2.3023645237420824
46,2.8161750981076485,,0.4921820118131353,,1.0,0.0,47,0.25,0.0625,2.3023645237420824
47,2.7295659854747685,,0.35133518579211603,,1.0,0.0,48,0.5,0.0625,2.3023645237420824
48,0.0,1.7523091681885872,0.0,0.012596150593573057,0.0,1.0,49,0.000244140625,0.03125,2.3023645237420824
49,0.0,1.7623643929335413,0.0,0.011265564797075646,0.0,1.0,50,0.00048828125,0.03125,2.3023645237420824
50,,1.7802205902843613,,0.028732950462733792,0.0,1.0,51,0.0009765625,0.03125,2.3023645237420824
51,0.0,1.780896447034303,0.0,0.01653278063911528,0.0,1.0,52,0.001953125,0.03125,2.3023645237420824
52,0.0,1.8133280086395143,0.0,0.029806460881280337,0.0,1.0,53,0.00390625,0.03125,2.3023645237420824
53,2.4374815441893563,1.858589055382023,0.08145370485123428,0.0432775829428295,0.46602822704879143,0.5339717729512087,54,0.0078125,0.03125,2.3023645237420824
54,2.3566737368145194,,0.21659443231044376,,1.0,0.0,55,0.015625,0.03125,2.3023645237420824
55,2.7870155212714294,1.8034715754240453,0.12963295867947489,0.0323642927198841,0.8213326314781418,0.17866736852185824,56,0.03125,0.03125,2.3023645237420824
56,3.083520437159996,1.792007290239734,0.18054372528989795,0.04610071716799629,0.8374123997447578,0.16258760025524227,57,0.0625,0.03125,2.3023645237420824
57,3.472879014020679,2.1856570470529975,0.1781395910464214,0.2686269593813237,0.6647497925467944,0.33525020745320544,58,0.125,0.03125,2.3023645237420824
58,3.4957465768449913,2.381825902210517,0.19814952993864887,0.30000625155579863,0.5764778943970087,0.42352210560299136,59,0.25,0.03125,2.3023645237420824
59,2.920775905052299,,0.387116729819992,,1.0,0.0,60,0.5,0.03125,2.3023645237420824
60,0.0,1.764297681993138,0.0,0.008988786307938895,0.0,1.0,61,0.000244140625,0.015625,2.3023645237420824
61,,1.8949767279402188,,0.03329507820614997,0.0,1.0,62,0.00048828125,0.015625,2.3023645237420824
62,0.0,1.7722734455696956,0.0,0.012222230756897077,0.0,1.0,63,0.0009765625,0.015625,2.3023645237420824
63,0.0,1.8881262236237306,0.0,0.014660106831940295,0.0,1.0,64,0.001953125,0.015625,2.3023645237420824
64,2.3343167440584756,1.7997692861370993,0.10263027274634902,0.016276997184222666,0.4801871322705146,0.5198128677294853,65,0.00390625,0.015625,2.3023645237420824
65,2.565763477937102,1.8022699391854855,0.10537659483935961,0.020909260013866997,0.6925051486157969,0.3074948513842029,66,0.0078125,0.015625,2.3023645237420824
66,2.8896299333269764,2.0025399588217954,0.10893341373526362,0.11059431939264727,0.7032383058209745,0.2967616941790257,67,0.015625,0.015625,2.3023645237420824
67,3.0811787794631105,1.8218824703069239,0.1215076520826264,0.03824162664850634,0.8721574620377097,0.12784253796229028,68,0.03125,0.015625,2.3023645237420824
68,3.3881991334940786,1.8315061574029499,0.15724160817995608,0.06798054472104448,0.8867208568028873,0.11327914319711267,69,0.0625,0.015625,2.3023645237420824
69,3.6475823834189907,2.1971548971474175,0.14288832008705885,0.3377715987167362,0.7927770088184496,0.2072229911815505,70,0.125,0.015625,2.3023645237420824
70,3.697468032304709,2.571958667533202,0.1379981383985017,0.3913925127111401,0.701799597221248,0.29820040277875187,71,0.25,0.015625,2.3023645237420824
71,3.534390831956588,2.797677551376692,0.14840929215622084,0.3954130127866539,0.6650515605028395,0.3349484394971604,72,0.5,0.015625,2.3023645237420824
72,,1.7762523553100182,,0.026678762216567203,0.0,1.0,73,0.000244140625,0.0078125,2.3023645237420824
73,,1.7880528556607869,,0.023943508497601445,0.0,1.0,74,0.00048828125,0.0078125,2.3023645237420824
74,0.0,1.7794474004294258,0.0,0.016780621949851474,0.0,1.0,75,0.0009765625,0.0078125,2.3023645237420824
75,2.631371605020685,1.8124113744504782,0.09287257231693913,0.03064684750256673,0.23157396989445345,0.7684260301055466,76,0.001953125,0.0078125,2.3023645237420824
76,2.8756580901376854,1.8478783225019237,0.0878550186663145,0.0311470348372293,0.6000947808285538,0.3999052191714462,77,0.00390625,0.0078125,2.3023645237420824
77,3.099255677484711,1.8743770477221615,0.09479612169986326,0.04626523144833295,0.8153519515582842,0.1846480484417158,78,0.0078125,0.0078125,2.3023645237420824
78,3.33563621724799,,0.08485021205748167,,1.0,0.0,79,0.015625,0.0078125,2.3023645237420824
79,3.552216770280105,,0.07988578481265257,,1.0,0.0,80,0.03125,0.0078125,2.3023645237420824
80,3.7412628430438417,,0.09500293659995497,,1.0,0.0,81,0.0625,0.0078125,2.3023645237420824
81,3.8358335097697873,,0.1037379404115731,,1.0,0.0,82,0.125,0.0078125,2.3023645237420824
82,3.8732857320790353,,0.10217474902447783,,1.0,0.0,83,0.25,0.0078125,2.3023645237420824
83,3.870831136917512,3.2771768538416137,0.08060763569172587,0.5808095103838178,0.8802164180796623,0.11978358192033768,84,0.5,0.0078125,2.3023645237420824
84,0.0,1.7109902917955682,0.0,0.018621593397648125,0.0,1.0,85,0.000244140625,0.00390625,2.3023645237420824
85,2.3968215361759135,1.8929355074191108,0.10683543063514754,0.06285128889047518,0.36729247189433933,0.6327075281056606,86,0.00048828125,0.00390625,2.3023645237420824
86,2.8040436057784666,2.144064038457429,0.08117899851695627,0.11995507951015479,0.6681119660579985,0.3318880339420015,87,0.0009765625,0.00390625,2.3023645237420824
87,3.0494134788560276,2.7410550190105685,0.07856195641591435,0.25804075812155153,0.6982722879436937,0.3017277120563064,88,0.001953125,0.00390625,2.3023645237420824
88,3.1765295721109537,1.8492503568726315,0.09502676286188937,0.08162640455572977,0.8968674339122347,0.10313256608776535,89,0.00390625,0.00390625,2.3023645237420824
89,3.392122067767106,,0.0714675822391427,,1.0,0.0,90,0.0078125,0.00390625,2.3023645237420824
90,3.5921585198108255,,0.08949969391078537,,1.0,0.0,91,0.015625,0.00390625,2.3023645237420824
91,3.856032866009506,,0.07441013611489293,,1.0,0.0,92,0.03125,0.00390625,2.3023645237420824
92,4.0050736377962055,,0.06544174952414335,,1.0,0.0,93,0.0625,0.00390625,2.3023645237420824
93,4.060903359929629,,0.06261025794238415,,1.0,0.0,94,0.125,0.00390625,2.3023645237420824
94,4.055952621584417,,0.05220332543189954,,1.0,0.0,95,0.25,0.00390625,2.3023645237420824
95,4.00680906714941,,0.0663407415543537,,1.0,0.0,96,0.5,0.00390625,2.3023645237420824
