,on_fraction,on_level,on_sigma,off_level,off_sigma,off_fraction,id,gal,glc,muThresh
0,0.0,,,1.1839865198331831,0.04442698330292298,1.0,1,0.000244140625,0.5,1.9894874418143105
1,0.0,0.0,0.0,1.175056806005773,0.02626878831242706,1.0,2,0.00048828125,0.5,1.9894874418143105
2,0.0,,,1.1910684855539255,0.048487159396261234,1.0,3,0.0009765625,0.5,1.9894874418143105
3,0.0,0.0,0.0,1.1647612152768683,0.02932292211641303,1.0,4,0.001953125,0.5,1.9894874418143105
4,0.0,0.0,0.0,1.202028302141646,0.04960142574592696,1.0,5,0.00390625,0.5,1.9894874418143105
5,0.16784289914949432,3.0127599276062793,0.3498172291391222,1.2233403539500454,0.04224417504284608,0.8321571008505056,6,0.0078125,0.5,1.9894874418143105
6,0.48837570190506735,3.1933563938545153,0.23623287696966447,1.2512538233548913,0.06768449180592405,0.5116242980949326,7,0.015625,0.5,1.9894874418143105
7,0.7757809907795453,3.464562801378836,0.1107218959496865,1.3889937422128957,0.16388420017373043,0.22421900922045465,8,0.03125,0.5,1.9894874418143105
8,0.8930153412081214,3.6528002256515495,0.09650929594517063,1.5612250640792258,0.38831212518473496,0.10698465879187853,9,0.0625,0.5,1.9894874418143105
9,1.0,3.708989930070711,0.10072968396532994,,,0.0,10,0.125,0.5,1.9894874418143105
10,1.0,3.7913373233081615,0.10748567200572699,,,0.0,11,0.25,0.5,1.9894874418143105
11,1.0,3.880922420801278,0.10554337189375597,,,0.0,12,0.5,0.5,1.9894874418143105
12,0.0,0.0,0.0,1.1241862513319687,0.03556099309870895,1.0,13,0.000244140625,0.25,1.9894874418143105
13,0.0,,,1.1844624793527816,0.045150047283631554,1.0,14,0.00048828125,0.25,1.9894874418143105
14,0.0,,,1.1855843603194027,0.04714527515464002,1.0,15,0.0009765625,0.25,1.9894874418143105
15,0.0,0.0,0.0,1.187768376627769,0.04429571923624787,1.0,16,0.001953125,0.25,1.9894874418143105
16,0.0,0.0,0.0,1.2012640764642855,0.052391471966337574,1.0,17,0.00390625,0.25,1.9894874418143105
17,0.3776666384154405,3.2358262544484067,0.2651703797473434,1.2315804294375372,0.06461675354946456,0.6223333615845595,18,0.0078125,0.25,1.9894874418143105
18,0.6950975703901131,3.4871005905992027,0.13746828477177905,1.3183910264823906,0.12663182257106662,0.3049024296098869,19,0.015625,0.25,1.9894874418143105
19,0.8648350876498999,3.6032474911543866,0.10929788489942172,1.4345721955321054,0.28859568143893677,0.13516491235010014,20,0.03125,0.25,1.9894874418143105
20,1.0,3.680872723163216,0.10586711344408575,,,0.0,21,0.0625,0.25,1.9894874418143105
21,1.0,3.741958240148813,0.10505237506089099,,,0.0,22,0.125,0.25,1.9894874418143105
22,1.0,3.8207351871476614,0.08746166399570558,,,0.0,23,0.25,0.25,1.9894874418143105
23,1.0,3.9133003493028444,0.08420503468289126,,,0.0,24,0.5,0.25,1.9894874418143105
24,0.0,,,1.1698783574986789,0.04489798205036286,1.0,25,0.000244140625,0.125,1.9894874418143105
25,0.0,0.0,0.0,1.1095422355841038,0.03357645193710189,1.0,26,0.00048828125,0.125,1.9894874418143105
26,0.0,0.0,0.0,1.1709393831265187,0.02398486685744829,1.0,27,0.0009765625,0.125,1.9894874418143105
27,0.0,0.0,0.0,1.185827264278246,0.05376571211677699,1.0,28,0.001953125,0.125,1.9894874418143105
28,0.2715633922026853,3.1867596976276236,0.28032718459494976,1.2262366706990968,0.0591332907887652,0.7284366077973148,29,0.00390625,0.125,1.9894874418143105
29,0.6506872673597028,3.4543167276506845,0.16258587540306801,1.2805640198084807,0.11597074133770793,0.3493127326402971,30,0.0078125,0.125,1.9894874418143105
30,0.8454825355055678,3.5881569322979483,0.10702763128193052,1.370640050716268,0.2030052872814045,0.1545174644944321,31,0.015625,0.125,1.9894874418143105
31,1.0,3.6763905646501622,0.0989493191195445,,,0.0,32,0.03125,0.125,1.9894874418143105
