,on_fraction,on_level,on_sigma,off_level,off_sigma,off_fraction,id,gal,glc,muThresh
0,0.0,,,1.0262298428196954,0.0735229473709424,1.0,1,0.000244140625,0.5,1.7348795068052583
1,0.0,0.0,0.0,0.9205976478223798,0.05198593446712551,1.0,2,0.00048828125,0.5,1.7348795068052583
2,0.0,,,1.0378119276934894,0.07233226697164963,1.0,3,0.0009765625,0.5,1.7348795068052583
3,0.0,0.0,0.0,0.9372393528655529,0.04557207924541387,1.0,4,0.001953125,0.5,1.7348795068052583
4,0.0,0.0,0.0,1.0386977002446292,0.06535521652679882,1.0,5,0.00390625,0.5,1.7348795068052583
5,0.3230088528059512,2.815202649960414,0.26103306483804817,1.087212561576077,0.07765548796870042,0.6769911471940487,6,0.0078125,0.5,1.7348795068052583
6,0.6303388381535324,3.071883308988431,0.17573784554922917,1.1705120912110831,0.12564007862431645,0.36966116184646747,7,0.015625,0.5,1.7348795068052583
7,0.8300984311884181,3.337949779151382,0.11523492782108676,1.2928082481874859,0.22367226466022092,0.16990156881158197,8,0.03125,0.5,1.7348795068052583
8,0.8942165696608743,3.4821760723115895,0.0990154920608578,1.4450044182527793,0.3865148480549494,0.10578343033912563,9,0.0625,0.5,1.7348795068052583
9,1.0,3.5410589156183883,0.10309307901240297,,,0.0,10,0.125,0.5,1.7348795068052583
10,1.0,3.609981102125046,0.10787985909466838,,,0.0,11,0.25,0.5,1.7348795068052583
11,1.0,3.729255979483162,0.1011173633893471,,,0.0,12,0.5,0.5,1.7348795068052583
12,0.0,0.0,0.0,0.9037455263082087,0.04599618267582909,1.0,13,0.000244140625,0.25,1.7348795068052583
13,0.0,,,1.0154910590594417,0.07076518946228436,1.0,14,0.00048828125,0.25,1.7348795068052583
14,0.0,,,1.0310009492731318,0.07325448420108312,1.0,15,0.0009765625,0.25,1.7348795068052583
15,0.0,0.0,0.0,0.984066385855659,0.043819862181156466,1.0,16,0.001953125,0.25,1.7348795068052583
16,0.1442662712793681,2.636238006934626,0.3079934483678157,1.0517393807234179,0.07375233171568468,0.8557337287206319,17,0.00390625,0.25,1.7348795068052583
17,0.5397851834583812,3.0326115870389745,0.2019646231500461,1.1198553040507195,0.0913502396038145,0.4602148165416188,18,0.0078125,0.25,1.7348795068052583
18,0.7854413586529624,3.268968309403239,0.12826707222200984,1.2780512962018167,0.21026087259477697,0.21455864134703764,19,0.015625,0.25,1.7348795068052583
19,1.0,3.4444136152018707,0.09968229398884593,,,0.0,20,0.03125,0.25,1.7348795068052583
20,1.0,3.5275751017027708,0.10087518523767657,,,0.0,21,0.0625,0.25,1.7348795068052583
21,1.0,3.594648755742248,0.10605003395841424,,,0.0,22,0.125,0.25,1.7348795068052583
22,1.0,3.677102958068291,0.10956138896076012,,,0.0,23,0.25,0.25,1.7348795068052583
23,0.8281034364659169,3.818828150791041,0.1362693711397298,0.9858203399813348,0.22511494968502724,0.17189656353408309,24,0.5,0.25,1.7348795068052583
24,0.0,0.0,0.0,0.913496379439202,0.04495349444707885,1.0,25,0.000244140625,0.125,1.7348795068052583
25,0.0,0.0,0.0,0.9052507406060847,0.04791347872067743,1.0,26,0.00048828125,0.125,1.7348795068052583
26,0.0,0.0,0.0,0.9414522574704506,0.04373203758069912,1.0,27,0.0009765625,0.125,1.7348795068052583
27,0.0,0.0,0.0,1.0378223794797443,0.07083635003801393,1.0,28,0.001953125,0.125,1.7348795068052583
28,0.3787273160370657,2.9941228490747505,0.2149884757819924,1.087014664207174,0.08188692151488466,0.6212726839629342,29,0.00390625,0.125,1.7348795068052583
