,on_fraction,on_level,on_sigma,off_level,off_sigma,off_fraction,id,gal,glc,muThresh
0,0.0,,,1.0051535470601363,0.04298934883996621,1.0,1,0.000244140625,0.5,1.699940901346282
1,0.0,,,1.0133335968999395,0.04045167254180398,1.0,2,0.00048828125,0.5,1.699940901346282
2,0.0,,,1.023887902445764,0.03622767580519228,1.0,3,0.0009765625,0.5,1.699940901346282
3,0.0,,,1.0379098203255523,0.033029761651918524,1.0,4,0.001953125,0.5,1.699940901346282
4,0.0,,,1.0700668287862658,0.02508781039169651,1.0,5,0.00390625,0.5,1.699940901346282
5,0.0,0.0,0.0,0.9983331452523535,0.020472007393178577,1.0,6,0.0078125,0.5,1.699940901346282
6,0.0,,,1.0339327419985465,0.030985276365285155,1.0,7,0.015625,0.5,1.699940901346282
7,0.0,,,1.0344044391820488,0.029217079772834203,1.0,8,0.03125,0.5,1.699940901346282
8,0.0,0.0,0.0,0.9539293401416162,0.024482398747249466,1.0,9,0.0625,0.5,1.699940901346282
9,0.0,0.0,0.0,1.0233372490653214,0.015662459407139354,1.0,10,0.125,0.5,1.699940901346282
10,0.0,0.0,0.0,1.0422465018997091,0.020725151008235358,1.0,11,0.25,0.5,1.699940901346282
11,0.0,0.0,0.0,1.0708647389317678,0.022556833101368013,1.0,12,0.5,0.5,1.699940901346282
12,0.0,,,1.039531381494018,0.03522858301745217,1.0,13,0.000244140625,0.25,1.699940901346282
13,0.0,,,1.0510949614969198,0.04188255846802629,1.0,14,0.00048828125,0.25,1.699940901346282
14,0.0,0.0,0.0,0.9667779379414944,0.026149163303592356,1.0,15,0.0009765625,0.25,1.699940901346282
15,0.0,,,1.0724948473692975,0.021467797427357643,1.0,16,0.001953125,0.25,1.699940901346282
16,0.0,,,1.0895875560761956,0.03385429995775796,1.0,17,0.00390625,0.25,1.699940901346282
17,0.0,0.0,0.0,1.0392881255904165,0.028261077111853387,1.0,18,0.0078125,0.25,1.699940901346282
18,0.0,,,1.0504976621611242,0.022237262607275578,1.0,19,0.015625,0.25,1.699940901346282
19,0.0,0.0,0.0,1.0071971422357704,0.020702399808429736,1.0,20,0.03125,0.25,1.699940901346282
20,0.0,0.0,0.0,1.030261184270869,0.02191303976682777,1.0,21,0.0625,0.25,1.699940901346282
21,0.0,0.0,0.0,1.0639847683782095,0.020526478321703547,1.0,22,0.125,0.25,1.699940901346282
22,0.0,0.0,0.0,1.0674168771023507,0.03667526031448179,1.0,23,0.25,0.25,1.699940901346282
23,0.10315000848147597,2.084643793861055,0.2953437527544861,1.0969045164764404,0.026742445334410718,0.8968499915185241,24,0.5,0.25,1.699940901346282
24,0.0,0.0,0.0,0.9791222750110476,0.023853044242505842,1.0,25,0.000244140625,0.125,1.699940901346282
25,0.0,,,1.0601702425427997,0.03730528143007327,1.0,26,0.00048828125,0.125,1.699940901346282
26,0.0,,,1.077275095946982,0.03822374206578462,1.0,27,0.0009765625,0.125,1.699940901346282
27,0.0,0.0,0.0,1.04616217605761,0.02205952309568434,1.0,28,0.001953125,0.125,1.699940901346282
28,0.0,,,1.097967333548093,0.036938530118533035,1.0,29,0.00390625,0.125,1.699940901346282
29,0.0,0.0,0.0,1.0602391434058391,0.028526334979947183,1.0,30,0.0078125,0.125,1.699940901346282
30,0.0,0.0,0.0,1.0112700320636232,0.022164665686577066,1.0,31,0.015625,0.125,1.699940901346282
31,0.0,0.0,0.0,1.0478573365573436,0.03152196660879705,1.0,32,0.03125,0.125,1.699940901346282
32,0.0,0.0,0.0,1.0715337590358134,0.03296928927976443,1.0,33,0.0625,0.125,1.699940901346282
33,0.11553777445029802,2.2593677981283813,0.2707666802958214,1.0849395634546923,0.023030339266538868,0.884462225549702,34,0.125,0.125,1.699940901346282
34,0.24855889146067242,2.166282834040011,0.3963737281295453,1.0711853731202774,0.037585364789124096,0.7514411085393276,35,0.25,0.125,1.699940901346282
35,0.3166352406182423,2.424536693094896,0.29789630865233335,1.1308944311940754,0.02533617206509706,0.6833647593817578,36,0.5,0.125,1.699940901346282
36,0.0,,,1.0682196293178088,0.03554919634791588,1.0,37,0.000244140625,0.0625,1.699940901346282
37,0.0,,,1.067105779111417,0.03309626022057491,1.0,38,0.00048828125,0.0625,1.699940901346282
38,0.0,,,1.078223774928143,0.02272665730457203,1.0,39,0.0009765625,0.0625,1.699940901346282
39,0.0,0.0,0.0,1.0362910686635063,0.022103999065055942,1.0,40,0.001953125,0.0625,1.699940901346282
40,0.0,,,1.1146248935808118,0.03891336135528269,1.0,41,0.00390625,0.0625,1.699940901346282
41,0.0,0.0,0.0,1.1010196704890916,0.022112582989737218,1.0,42,0.0078125,0.0625,1.699940901346282
42,0.0,0.0,0.0,1.0703540384001038,0.03383518552424911,1.0,43,0.015625,0.0625,1.699940901346282
43,0.16822924960073532,2.3963720654405316,0.2682585219118608,1.0854086089808814,0.024695715193971728,0.8317707503992646,44,0.03125,0.0625,1.699940901346282
44,0.2526277467400091,2.43525840203754,0.3064218575379576,1.0928149490123236,0.02955036596977715,0.7473722532599909,45,0.0625,0.0625,1.699940901346282
45,0.33651688891218595,2.4879391873000123,0.28563560007742844,1.0988015929872288,0.024357450374467144,0.6634831110878141,46,0.125,0.0625,1.699940901346282
