,on_fraction,on_level,on_sigma,off_level,off_sigma,off_fraction,id,gal,glc,muThresh
0,0.0,,,1.0846808974598114,0.026966834851851376,1.0,1,0.000244140625,0.5,1.725545694405041
1,0.0,,,1.0646671779936205,0.03609931642869203,1.0,2,0.00048828125,0.5,1.725545694405041
2,0.0,,,1.0741965823916322,0.03148247808484762,1.0,3,0.0009765625,0.5,1.725545694405041
3,0.0,,,1.075322684354424,0.0267003714290719,1.0,4,0.001953125,0.5,1.725545694405041
4,0.0,,,1.077844182343172,0.022070649583132783,1.0,5,0.00390625,0.5,1.725545694405041
5,0.0,,,1.070764680077903,0.03362546403134054,1.0,6,0.0078125,0.5,1.725545694405041
6,0.0,,,1.0678698637773232,0.03230321957157407,1.0,7,0.015625,0.5,1.725545694405041
7,0.0,,,1.084739184128124,0.018840609016887336,1.0,8,0.03125,0.5,1.725545694405041
8,0.0,,,1.0941894396433263,0.02147661459778584,1.0,9,0.0625,0.5,1.725545694405041
9,0.0,,,1.1228615647944435,0.02984581990351445,1.0,10,0.125,0.5,1.725545694405041
10,0.0,0.0,0.0,1.072349106456303,0.02364419627288502,1.0,11,0.25,0.5,1.725545694405041
11,0.0,0.0,0.0,1.1335523815713062,0.025775426896963074,1.0,12,0.5,0.5,1.725545694405041
12,0.0,,,1.0871765921555012,0.030351580437324784,1.0,13,0.000244140625,0.25,1.725545694405041
13,0.0,,,1.0714906449742205,0.026477645988405078,1.0,14,0.00048828125,0.25,1.725545694405041
14,0.0,,,1.0767715900725627,0.020096425807398833,1.0,15,0.0009765625,0.25,1.725545694405041
15,0.0,,,1.0827661156444834,0.019574961321399603,1.0,16,0.001953125,0.25,1.725545694405041
16,0.0,,,1.0797552219687432,0.020651317260091732,1.0,17,0.00390625,0.25,1.725545694405041
17,0.0,,,1.0720897338688664,0.03561936614919535,1.0,18,0.0078125,0.25,1.725545694405041
18,0.0,,,1.0728557678576742,0.027811456324098763,1.0,19,0.015625,0.25,1.725545694405041
19,0.0,0.0,0.0,1.0578614375680815,0.014745643307234872,1.0,20,0.03125,0.25,1.725545694405041
20,0.0,0.0,0.0,1.113963464257336,0.017978536075997333,1.0,21,0.0625,0.25,1.725545694405041
21,0.0,0.0,0.0,1.1008562095628502,0.028536540133191752,1.0,22,0.125,0.25,1.725545694405041
