,on_level,off_level,on_sigma,off_sigma,on_fraction,off_fraction,id,gal,glc,muThresh
0,0.0,1.1905791915534494,0.0,0.021638826922728734,0.0,1.0,1,0.000244140625,0.5,1.9271786426843784
1,,1.1914981977584735,,0.04585893648161547,0.0,1.0,2,0.00048828125,0.5,1.9271786426843784
2,,1.1976575328734724,,0.04441942358656456,0.0,1.0,3,0.0009765625,0.5,1.9271786426843784
3,0.0,1.1858744521176314,0.0,0.07216112037756812,0.0,1.0,4,0.001953125,0.5,1.9271786426843784
4,,1.1987595857391484,,0.047853110503892335,0.0,1.0,5,0.00390625,0.5,1.9271786426843784
5,0.0,1.1972045618707425,0.0,0.07258976785916915,0.0,1.0,6,0.0078125,0.5,1.9271786426843784
6,,1.1987808289789268,,0.04474298208240326,0.0,1.0,7,0.015625,0.5,1.9271786426843784
7,0.0,1.2007453065899005,0.0,0.07339528748460426,0.0,1.0,8,0.03125,0.5,1.9271786426843784
8,0.0,1.235013740734862,0.0,0.029450199871001954,0.0,1.0,9,0.0625,0.5,1.9271786426843784
9,1.953641551968341,1.3024704895921644,0.17630734510604057,0.058281930344169966,0.25157078967400076,0.7484292103259993,10,0.125,0.5,1.9271786426843784
10,2.2050180433720885,1.4144296221475459,0.1739560848506101,0.08643333546556396,0.3804649148159583,0.6195350851840419,11,0.25,0.5,1.9271786426843784
11,2.0252823918078486,,0.3046637815447144,,1.0,0.0,12,0.5,0.5,1.9271786426843784
12,0.0,1.1900563046543513,0.0,0.01934610731974296,0.0,1.0,13,0.000244140625,0.25,1.9271786426843784
13,,1.1905630927361048,,0.04290420746969525,0.0,1.0,14,0.00048828125,0.25,1.9271786426843784
14,,1.2010206768185183,,0.04634940770089488,0.0,1.0,15,0.0009765625,0.25,1.9271786426843784
15,,1.1983912900806533,,0.046143921150634114,0.0,1.0,16,0.001953125,0.25,1.9271786426843784
16,0.0,1.1868710962193267,0.0,0.07226178832896961,0.0,1.0,17,0.00390625,0.25,1.9271786426843784
17,,1.2038033053075432,,0.049262460415997626,0.0,1.0,18,0.0078125,0.25,1.9271786426843784
18,0.0,1.2085899565625107,0.0,0.024091317935224954,0.0,1.0,19,0.015625,0.25,1.9271786426843784
19,0.0,1.266031284886182,0.0,0.0443714620568353,0.0,1.0,20,0.03125,0.25,1.9271786426843784
20,2.2689088014336516,1.3867885755729583,0.17470116792920856,0.08335342479960306,0.3837411007161948,0.6162588992838053,21,0.0625,0.25,1.9271786426843784
21,2.0414708496712315,,0.3635445498525329,,1.0,0.0,22,0.125,0.25,1.9271786426843784
22,2.221303935003909,,0.37932825821273736,,1.0,0.0,23,0.25,0.25,1.9271786426843784
23,2.773345228834393,1.7596032429276112,0.17653847799720954,0.2525690110128171,0.6431624524091338,0.35683754759086617,24,0.5,0.25,1.9271786426843784
24,,1.193695438637198,,0.04506095335127919,0.0,1.0,25,0.000244140625,0.125,1.9271786426843784
25,0.0,1.1815909434282619,0.0,0.02243889685365523,0.0,1.0,26,0.00048828125,0.125,1.9271786426843784
26,0.0,1.192069286807433,0.0,0.07834189241287934,0.0,1.0,27,0.0009765625,0.125,1.9271786426843784
27,0.0,1.1801965646302706,0.0,0.08241233717184794,0.0,1.0,28,0.001953125,0.125,1.9271786426843784
28,0.0,1.1987164548629055,0.0,0.0795412930550821,0.0,1.0,29,0.00390625,0.125,1.9271786426843784
29,0.0,1.2142770468271784,0.0,0.025569502587820866,0.0,1.0,30,0.0078125,0.125,1.9271786426843784
30,2.1046706093660736,1.300787027855487,0.18452051648680326,0.0643230006817607,0.26222622620154507,0.7377737737984549,31,0.015625,0.125,1.9271786426843784
31,2.0894361600582876,,0.41036114812645175,,1.0,0.0,32,0.03125,0.125,1.9271786426843784
32,2.772500169895337,1.8336693981597794,0.16961183121719947,0.22805754748953605,0.6166063798714017,0.3833936201285984,33,0.0625,0.125,1.9271786426843784
33,2.876274662504851,1.947345578689911,0.1650269611789454,0.2764503605852004,0.6436202733472502,0.3563797266527498,34,0.125,0.125,1.9271786426843784
34,2.940680609912918,1.9113063744223147,0.16673285716704953,0.3165662568231671,0.7053039023587544,0.29469609764124555,35,0.25,0.125,1.9271786426843784
35,3.0535242282934854,1.663911034496967,0.1763491971118756,0.33268341010047897,0.7881753038509902,0.21182469614900973,36,0.5,0.125,1.9271786426843784
36,,1.200106546127437,,0.04583224101242384,0.0,1.0,37,0.000244140625,0.0625,1.9271786426843784
37,0.0,1.1910454287861356,0.0,0.08064505558612009,0.0,1.0,38,0.00048828125,0.0625,1.9271786426843784
38,0.0,1.193074943733611,0.0,0.08139606970552919,0.0,1.0,39,0.0009765625,0.0625,1.9271786426843784
39,,1.210408093648537,,0.045966251490134634,0.0,1.0,40,0.001953125,0.0625,1.9271786426843784
40,0.0,1.2257110669409845,0.0,0.027959697953552427,0.0,1.0,41,0.00390625,0.0625,1.9271786426843784
41,2.203697220108641,1.336106474092685,0.18071478972770472,0.070633584972704,0.3306941422841111,0.6693058577158889,42,0.0078125,0.0625,1.9271786426843784
42,2.7726254017139693,1.7450279536019324,0.16802640827577428,0.21027819632061007,0.629984391094084,0.370015608905916,43,0.015625,0.0625,1.9271786426843784
43,3.0185508294850494,2.0948562436056117,0.15290434968999903,0.3334448475702059,0.7107503326275955,0.28924966737240443,44,0.03125,0.0625,1.9271786426843784
44,3.0906774651143114,2.2506273611605536,0.1464008413824457,0.3987268042396199,0.7209710816094581,0.27902891839054195,45,0.0625,0.0625,1.9271786426843784
45,3.151555162764713,2.3220383527272697,0.14350102747299875,0.4579550577183537,0.7473801653751443,0.2526198346248558,46,0.125,0.0625,1.9271786426843784
46,3.193903410763943,1.9669139728883498,0.14126733140892853,0.4095642922446332,0.815572779647489,0.18442722035251102,47,0.25,0.0625,1.9271786426843784
47,3.3033880590308766,1.322577075129499,0.1672243216135842,0.16628959440051452,0.8833806860740286,0.11661931392597137,48,0.5,0.0625,1.9271786426843784
48,0.0,1.207416288858334,0.0,0.08464949090027672,0.0,1.0,49,0.000244140625,0.03125,1.9271786426843784
49,,1.2102081096166077,,0.04854937821353086,0.0,1.0,50,0.00048828125,0.03125,1.9271786426843784
50,0.0,1.2113442505060976,0.0,0.0896467651860579,0.0,1.0,51,0.0009765625,0.03125,1.9271786426843784
51,0.0,1.2306194395985597,0.0,0.02641930195749012,0.0,1.0,52,0.001953125,0.03125,1.9271786426843784
52,2.2933291832256377,1.3407147582107606,0.20990054028329658,0.07267416459951816,0.338369491637445,0.661630508362555,53,0.00390625,0.03125,1.9271786426843784
53,2.9120166153467277,1.7987370819770372,0.16893398293797807,0.24864001538505304,0.6872071179424657,0.31279288205753436,54,0.0078125,0.03125,1.9271786426843784
54,3.2312189004340506,2.151108654559729,0.13785815303244583,0.4723974105646728,0.805435551790441,0.19456444820955898,55,0.015625,0.03125,1.9271786426843784
