,on_level,off_level,on_sigma,off_sigma,on_fraction,off_fraction,id,gal,glc,muThresh
0,0.0,1.1130486757712132,0.0,0.019674438421868393,0.0,1.0,1,0.000244140625,0.5,1.8977450087847343
1,0.0,1.0533315748973797,0.0,0.020412395010937792,0.0,1.0,2,0.00048828125,0.5,1.8977450087847343
2,0.0,1.0862381287412792,0.0,0.017411612552841797,0.0,1.0,3,0.0009765625,0.5,1.8977450087847343
3,,1.1581673716437204,,0.02900382105081691,0.0,1.0,4,0.001953125,0.5,1.8977450087847343
4,,1.1612210930795739,,0.035208341174988084,0.0,1.0,5,0.00390625,0.5,1.8977450087847343
5,0.0,1.0957066209625788,0.0,0.02069349716152811,0.0,1.0,6,0.0078125,0.5,1.8977450087847343
6,,1.1555759228293063,,0.033306192436355145,0.0,1.0,7,0.015625,0.5,1.8977450087847343
7,0.0,1.1273415214047633,0.0,0.01768374476812004,0.0,1.0,8,0.03125,0.5,1.8977450087847343
8,0.0,1.157342304861583,0.0,0.022174639369935075,0.0,1.0,9,0.0625,0.5,1.8977450087847343
9,0.0,1.219784851357911,0.0,0.04130112029431036,0.0,1.0,10,0.125,0.5,1.8977450087847343
10,2.118853881975161,1.304523734690343,0.17119204463691842,0.05864499536845095,0.48170822077382586,0.5182917792261742,11,0.25,0.5,1.8977450087847343
11,2.0804801323199484,,0.4115533248060149,,1.0,0.0,12,0.5,0.5,1.8977450087847343
12,0.0,1.117640459329751,0.0,0.022279699994955906,0.0,1.0,13,0.000244140625,0.25,1.8977450087847343
13,0.0,1.1258030246273127,0.0,0.020923144136846393,0.0,1.0,14,0.00048828125,0.25,1.8977450087847343
14,0.0,1.0865442479346008,0.0,0.021235043259052205,0.0,1.0,15,0.0009765625,0.25,1.8977450087847343
15,0.0,1.077645547416476,0.0,0.021499344667887523,0.0,1.0,16,0.001953125,0.25,1.8977450087847343
16,0.0,1.1241707011549662,0.0,0.019772557756733332,0.0,1.0,17,0.00390625,0.25,1.8977450087847343
17,,1.1754618381011273,,0.03105455385165747,0.0,1.0,18,0.0078125,0.25,1.8977450087847343
18,0.0,1.1312542554449092,0.0,0.01940153799437179,0.0,1.0,19,0.015625,0.25,1.8977450087847343
19,0.0,1.182284202485497,0.0,0.018792628341686567,0.0,1.0,20,0.03125,0.25,1.8977450087847343
20,2.0359240133332253,1.2387600588804129,0.2000441840640033,0.0445158437629727,0.2516873662590613,0.7483126337409388,21,0.0625,0.25,1.8977450087847343
21,2.334301979493749,1.252443934277829,0.252524341458154,0.04438064996110792,0.6013239222790221,0.39867607772097785,22,0.125,0.25,1.8977450087847343
22,2.623832923598525,1.2851472178832095,0.23396319328178464,0.06641585395313608,0.7459803656575389,0.2540196343424612,23,0.25,0.25,1.8977450087847343
23,2.847039748611394,1.536697319215801,0.16198445580416024,0.19819187272876507,0.7677430235914856,0.2322569764085143,24,0.5,0.25,1.8977450087847343
24,0.0,1.1127831116709925,0.0,0.02079096834958644,0.0,1.0,25,0.000244140625,0.125,1.8977450087847343
25,0.0,1.1049573894080749,0.0,0.015191600408880944,0.0,1.0,26,0.00048828125,0.125,1.8977450087847343
26,0.0,1.1116364068987348,0.0,0.021046096539914176,0.0,1.0,27,0.0009765625,0.125,1.8977450087847343
27,0.0,1.1302230108950915,0.0,0.01316844932257729,0.0,1.0,28,0.001953125,0.125,1.8977450087847343
28,0.0,1.1308190040455384,0.0,0.020811572307707825,0.0,1.0,29,0.00390625,0.125,1.8977450087847343
29,0.0,1.0969703636638048,0.0,0.02241357752129086,0.0,1.0,30,0.0078125,0.125,1.8977450087847343
30,0.0,1.1825859987623857,0.0,0.03166228426220855,0.0,1.0,31,0.015625,0.125,1.8977450087847343
31,2.1714918697224954,1.2161884887390253,0.27447462897601405,0.03422638033979115,0.37173816922014186,0.6282618307798582,32,0.03125,0.125,1.8977450087847343
32,2.538724217300381,1.2373553658823495,0.2713526539217189,0.042396349893964035,0.6195965301938543,0.3804034698061457,33,0.0625,0.125,1.8977450087847343
33,2.7311328995605746,1.2353908657676134,0.21652136098584035,0.03272769705215198,0.7842313928818367,0.21576860711816334,34,0.125,0.125,1.8977450087847343
34,2.970588702809897,1.5184324161593128,0.1672545648104535,0.20780456649708615,0.8003388830260824,0.1996611169739176,35,0.25,0.125,1.8977450087847343
35,3.1037407134540196,1.8350310124348084,0.1476465368168173,0.3778454011894489,0.8241639144286785,0.17583608557132144,36,0.5,0.125,1.8977450087847343
36,0.0,1.1076539545945692,0.0,0.019699470367640994,0.0,1.0,37,0.000244140625,0.0625,1.8977450087847343
37,0.0,1.1043901673150414,0.0,0.018366299033011478,0.0,1.0,38,0.00048828125,0.0625,1.8977450087847343
38,0.0,1.1416134526644628,0.0,0.010783554787092866,0.0,1.0,39,0.0009765625,0.0625,1.8977450087847343
39,0.0,1.100635043887693,0.0,0.022414069983064045,0.0,1.0,40,0.001953125,0.0625,1.8977450087847343
40,0.0,1.14230044052282,0.0,0.02029495552878254,0.0,1.0,41,0.00390625,0.0625,1.8977450087847343
41,0.0,1.182921947920998,0.0,0.017554009595236363,0.0,1.0,42,0.0078125,0.0625,1.8977450087847343
42,2.2739538499423544,1.2187278301584419,0.3033477000711558,0.032114537398043624,0.35176435064804945,0.6482356493519505,43,0.015625,0.0625,1.8977450087847343
43,2.7004975577306216,1.2267889412632513,0.2543090554949186,0.024164191494869383,0.6630206398903058,0.3369793601096942,44,0.03125,0.0625,1.8977450087847343
44,2.8885243550789483,1.2448312696263024,0.2282900952212034,0.054071313322935646,0.775846517132246,0.22415348286775402,45,0.0625,0.0625,1.8977450087847343
45,3.0193509329210704,1.3117888326809266,0.19174050165633222,0.09476856826379963,0.8469959916580764,0.1530040083419237,46,0.125,0.0625,1.8977450087847343
46,3.1539760844237827,1.7075673865736192,0.1497637520489912,0.33056334496808926,0.8507183530889104,0.14928164691108955,47,0.25,0.0625,1.8977450087847343
47,3.2972936598403466,2.163960704002353,0.11947833364452297,0.5318203012243627,0.8561205487297957,0.14387945127020435,48,0.5,0.0625,1.8977450087847343
48,0.0,1.1219589881024166,0.0,0.018893900658702202,0.0,1.0,49,0.000244140625,0.03125,1.8977450087847343
49,0.0,1.1378467598329314,0.0,0.018326291106242648,0.0,1.0,50,0.00048828125,0.03125,1.8977450087847343
50,0.0,1.1087321630706406,0.0,0.020363398759683276,0.0,1.0,51,0.0009765625,0.03125,1.8977450087847343
51,0.0,1.1314234330512463,0.0,0.016436962462655004,0.0,1.0,52,0.001953125,0.03125,1.8977450087847343
52,0.0,1.1903587405726472,0.0,0.01794289890171612,0.0,1.0,53,0.00390625,0.03125,1.8977450087847343
53,2.3659339366076706,1.2147671064181838,0.3056055504899031,0.041589401514069105,0.27629628644310134,0.7237037135568987,54,0.0078125,0.03125,1.8977450087847343
54,2.814647618492085,1.2298563196737353,0.2494043597783507,0.027536085010221558,0.6428162809622505,0.35718371903774954,55,0.015625,0.03125,1.8977450087847343
55,3.055505724455266,1.247918310720337,0.1940315079977481,0.05072576860815597,0.8034688943319686,0.19653110566803153,56,0.03125,0.03125,1.8977450087847343
56,3.1361743488813483,1.3301716555224505,0.171188133458853,0.10600232151882767,0.8589325136496867,0.14106748635031344,57,0.0625,0.03125,1.8977450087847343
57,3.244635433455797,1.6182869024030564,0.13350996790915237,0.28811711903454174,0.8831605565335171,0.11683944346648295,58,0.125,0.03125,1.8977450087847343
58,3.32898321000359,1.8931081375656085,0.13712683656152116,0.46393766373195355,0.8896753575636502,0.11032464243634978,59,0.25,0.03125,1.8977450087847343
59,3.4878920111777774,2.7020081475567386,0.09437058658528548,0.6373743581766476,0.8622366772686958,0.13776332273130423,60,0.5,0.03125,1.8977450087847343
60,0.0,1.159094101744641,0.0,0.03363313804977701,0.0,1.0,61,0.000244140625,0.015625,1.8977450087847343
61,0.0,1.1268183360217932,0.0,0.01823661090230918,0.0,1.0,62,0.00048828125,0.015625,1.8977450087847343
62,0.0,1.150658961334503,0.0,0.010767223194713262,0.0,1.0,63,0.0009765625,0.015625,1.8977450087847343
63,0.0,1.179143411142606,0.0,0.016734996824656772,0.0,1.0,64,0.001953125,0.015625,1.8977450087847343
64,2.479874125931876,1.2039451197782223,0.3760540040997161,0.03526909825644772,0.24711790465136246,0.7528820953486376,65,0.00390625,0.015625,1.8977450087847343
65,3.022379468827558,1.2387906627946066,0.25179540461828337,0.04504340402626704,0.6102786463259038,0.38972135367409627,66,0.0078125,0.015625,1.8977450087847343
66,3.252853332281126,1.3011379994397985,0.12304021831335452,0.06560736814251311,0.8219297523334944,0.17807024766650545,67,0.015625,0.015625,1.8977450087847343
67,3.365654983300965,1.4156672346919696,0.13813736875611968,0.19425888986298862,0.8959198854390776,0.10408011456092235,68,0.03125,0.015625,1.8977450087847343
68,3.4006965018300543,,0.1287774085020442,,1.0,0.0,69,0.0625,0.015625,1.8977450087847343
69,3.4804193592801713,,0.09174909931248239,,1.0,0.0,70,0.125,0.015625,1.8977450087847343
70,3.565344365959845,2.665958003051057,0.09819100449707499,0.7712956836885303,0.8978053715078299,0.10219462849217006,71,0.25,0.015625,1.8977450087847343
71,3.6923252757052225,,0.07834497411738442,,1.0,0.0,72,0.5,0.015625,1.8977450087847343
72,0.0,1.1460165170358865,0.0,0.018037371245799013,0.0,1.0,73,0.000244140625,0.0078125,1.8977450087847343
73,0.0,1.150758534985652,0.0,0.02517390516773914,0.0,1.0,74,0.00048828125,0.0078125,1.8977450087847343
74,0.0,1.1600476987139363,0.0,0.020032845728956753,0.0,1.0,75,0.0009765625,0.0078125,1.8977450087847343
75,2.5544356543805997,1.205388028561307,0.4600566163344036,0.03800953626069846,0.17581237660873175,0.8241876233912682,76,0.001953125,0.0078125,1.8977450087847343
76,3.3119257778532956,1.2815238471672583,0.22610151295360614,0.06939660320241432,0.6239086475746174,0.37609135242538255,77,0.00390625,0.0078125,1.8977450087847343
77,3.532441204259603,1.3741606330314249,0.12289131433303897,0.15016119872200104,0.8549482452569043,0.14505175474309587,78,0.0078125,0.0078125,1.8977450087847343
78,3.577366518801579,,0.09650185241263363,,1.0,0.0,79,0.015625,0.0078125,1.8977450087847343
79,3.6225555695750136,,0.04524252625805299,,1.0,0.0,80,0.03125,0.0078125,1.8977450087847343
80,3.6418619570647004,,0.07460461309236842,,1.0,0.0,81,0.0625,0.0078125,1.8977450087847343
81,3.706332075833945,,0.07501646299177747,,1.0,0.0,82,0.125,0.0078125,1.8977450087847343
82,3.753038317704469,,0.05686261363365147,,1.0,0.0,83,0.25,0.0078125,1.8977450087847343
83,3.8429726170288747,,0.06354450219190902,,1.0,0.0,84,0.5,0.0078125,1.8977450087847343
84,0.0,1.2582265695052814,0.0,0.040640589931329886,0.0,1.0,85,0.000244140625,0.00390625,1.8977450087847343
85,2.622540410042381,1.4938913197977401,0.19707834644685196,0.11817644873118324,0.3377188528483733,0.6622811471516268,86,0.00048828125,0.00390625,1.8977450087847343
86,3.2443356920303312,1.5406403485093416,0.1562654735810423,0.19829220858782973,0.7118204064600466,0.28817959353995326,87,0.0009765625,0.00390625,1.8977450087847343
87,3.573312678753485,,0.12607758290260299,,1.0,0.0,88,0.001953125,0.00390625,1.8977450087847343
88,3.7309213033841506,,0.036247093246400935,,1.0,0.0,89,0.00390625,0.00390625,1.8977450087847343
89,3.7664449380814387,,0.053596995492392746,,1.0,0.0,90,0.0078125,0.00390625,1.8977450087847343
90,3.7750988349219985,,0.05749561130988615,,1.0,0.0,91,0.015625,0.00390625,1.8977450087847343
91,3.8009268935442955,,0.08592856156565215,,1.0,0.0,92,0.03125,0.00390625,1.8977450087847343
92,3.824365033491322,,0.0824475590594707,,1.0,0.0,93,0.0625,0.00390625,1.8977450087847343
93,3.846962482026912,,0.07800446761415226,,1.0,0.0,94,0.125,0.00390625,1.8977450087847343
94,3.8829491512777907,,0.07930833390451882,,1.0,0.0,95,0.25,0.00390625,1.8977450087847343
95,3.933186405071958,,0.07217517742037476,,1.0,0.0,96,0.5,0.00390625,1.8977450087847343
